Key	English	Notes	Japanese	French	Spanish	German	Italian	TPCi
								
first_time_encounter|1	There’s a Pokémon nearby!	Professor prompts the player before letting them search for their first encounter. Spoken by the Prof.	近くにポケモンがいるぞ！	Il y a un Pokémon près de toi !	¡Hay un Pokémon cerca!	Es befindet sich ein Pokémon in der Nähe!	C'è un Pokémon nei dintorni!	
first_time_encounter|2	Here are some Poké Balls. These will help you catch one!		さっそく、このモンスターボールを使って、1匹捕まえてくれ！	Voici quelques Poké Balls. Elles t’aideront à en attraper un.	Aquí tienes algunas Poké Balls. ¡Te ayudarán a capturarlo!	Hier sind einige Pokébälle, die dir beim Fangen eines Pokémon helfen!	Ecco delle Poké Ball. Con queste potrai catturarlo!	
onboard_caught_pokemon|1	Congratulations!\nYou've caught your first Pokémon!	The message showing up after the player catches the first Pokémon. Spoken by the Prof.	おめでとう！\n初めてのポケモンを捕まえたようだね。	Félicitations !\nTu as attrapé ton premier Pokémon.	¡Enhorabuena!\n¡Has capturado tu primer Pokémon!	Glückwunsch!\nDu hast dein erstes Pokémon gefangen!	Complimenti!\nHai catturato il tuo primo Pokémon!	
onboard_caught_pokemon|2	You are such a talented Pokémon Trainer!\nWhat should I call you?		きみにはポケモントレーナーの才能があるよ！\nきみのことをなんて呼べばいいかな？	Tu as du talent !\nQuel est ton nom ?	¡Tienes un gran talento como Entrenador Pokémon!\n¿Cómo debería llamarte?	Du bist ein begabter Pokémon-Trainer!\nWie soll ich dich nennen?	Si vede che hai la stoffa dell'Allenatore!\nCome ti chiami?	
onboard_change_name|1	Hi, Trainer! What should I call you, again?	The pop up showing up when the player's name is baned by Niantic operations. The player is asked to re-input the nickname. Spoken by the Prof.	もういちど、別のニックネームを教えてくれないかな？	Bonjour, Dresseur ! Comment t’appelles-tu ?	¡Hola! ¿Cómo dices que debería llamarte?	Hi Trainer! Wie soll ich dich nennen?	Ciao, Allenatore! Come hai detto che ti chiami?	Added comma
onboard_name_registered|1	Oh, what a cool nickname!\nNice to meet you!	Conversation shown during onboarding after they complete pokemon tutorial and select a player name. Spoken by the Prof.	いいニックネームだね、よろしくな！	Joli nom !\nC'est un plaisir de te rencontrer.	Qué nombre tan interesante.\n¡Encantado de conocerte!	Ah, ein toller Spitzname!\nFreut mich, dich kennenzulernen!	Wow! Che bel nome!\nPiacere di conoscerti!	
onboard_name_registered|2	You will need more Poké Balls and other useful items during your exploration.		探検中、モンスターボールや他の道具も必要になると思うが、	Tu auras besoin de Poké Balls et d’autres objets utiles lors de tes explorations.	Vas a necesitar más Poké Balls y otros objetos que te vendrán muy bien durante tu exploración.	Auf deiner Entdeckungsreise benötigst du mehr Pokébälle und andere nützliche Items.	Durante le tue esplorazioni ti occorreranno altre Poké Ball e altri strumenti.	
visit_a_pokestop|1	You can find items at PokéStops.	Message to tell the player about PokéStop. Spoken by the Prof.	世界中の記念碑やランドマークなどにあるポケストップで見つけられるから、	Tu trouveras ces objets dans les PokéStops.	Puedes encontrar objetos en las Poképaradas.	Items findest du bei PokéStops.	Puoi trovarne presso i Pokéstop.	
visit_a_pokestop|2	They're found at interesting places like sculptures and monuments.		いろいろな場所を訪ねてみるといい。	Ils se trouvent dans des endroits tels que des créations artistiques publiques ou des monuments.	Están situadas en lugares interesantes, como en esculturas y monumentos.	Diese befinden sich an interessanten Orten wie Skulpturen oder Baudenkmälern.	Troverai i Pokéstop presso luoghi d'interesse storico e monumenti.	
visit_a_pokestop|3	From now on, you'll be off exploring all over the world. I hope you get out there and catch Pokémon—and register them in your Pokédex!		これから地球のあらゆる場所を探検し、ポケモンを捕まえて、ポケモン図鑑へ記録していって欲しい！	À compter de maintenant, tu vas explorer le monde entier. J’espère que tu sortiras attraper des Pokémon, et que tu les inscriras dans ton Pokédex !	A partir de ahora, podrás salir a explorar por todo el mundo. Espero que salgas y captures Pokémon, ¡y que los registres en tu Pokédex!	Geh jetzt überall auf der Welt auf Entdeckungsreise, um Pokémon zu fangen und sie in deinem Pokédex zu registrieren!	Ora tocca a te esplorare il mondo che ti circonda. Non perdere tempo e inizia a catturare tanti Pokémon per registrarli nel tuo Pokédex!	Change "to" to "in"
visit_a_pokestop|4	It's time to GO!		さぁ、ポケモンを探す旅へ GO！	À tes marques, prêt, GO !	¡Ya es hora de salir a explorar!	Los geht‘s – GO!	Pronti... GO!	
__backup__	Great job! Looks like you’ve caught {0}, a {1}-type Pokémon!		ナイス！{1}タイプのポケモン、{0}を捕まえたようだね。	Excellent ! On dirait que tu as attrapé {0}, un Pokémon de type {1}.	¡Buen trabajo! ¡Parece que has capturado a {0}, un Pokémon de tipo {1}!	Gut gemacht! Du hast {0} gefangen, ein Pokémon vom Typ {1}!	Ottimo lavoro! A quanto pare, hai catturato {0}, un Pokémon di tipo {1}!	
first_time_gym_low_level|1	This is a Gym, a place where you'll test your skills at Pokémon battles.		ここはジム。ポケモンバトルの腕を競う場所だ。	Ceci est une Arène, un lieu où tu testeras ta valeur dans des combats de Pokémon.	Esto es un Gimnasio, un lugar donde pondrás a prueba tus habilidades en combates Pokémon.	Dies ist eine Arena. Hier testest du dein Können in Pokémon-Kämpfen.	Questa è una Palestra, un luogo dove metterai alla prova la tua abilità nella lotta.	
first_time_gym_low_level|2	It looks like you don't have much experience as a Pokémon Trainer yet.		きみはまだポケモントレーナーとしての経験が浅いようだね。	Tu n’as pas encore beaucoup d’expérience comme Dresseur Pokémon...	Parece que todavía no tienes mucha experiencia como Entrenador Pokémon.	Du scheinst noch nicht sehr viel Erfahrung als Pokémon-Trainer zu haben.	Non hai molta esperienza come Allenatore, vero?	
first_time_gym_low_level|3	Come back when you've reached level {0}!		レベル{0}になってからまた来てくれ。	Reviens lorsque tu auras atteint le niveau {0} !	¡Vuelve cuando hayas alcanzado el nivel {0}!	Komme zurück, wenn du Level {0} erreicht hast!	Ritorna quando avrai raggiunto il livello {0}!	
first_time_gym_team_intro|1	Wow! Looks like you've caught a bunch of Pokémon and gained a lot of experience as a Pokémon Trainer, huh? Great work!		やぁ！ポケモンをたくさん捕まえて、ポケモントレーナーとしての経験を積んできたようだね。すばらしい！	On dirait que tu as attrapé plein de Pokémon et gagné de l'expérience en tant que Dresseur. Excellent travail !	¡Guau! Parece que has capturado un montón de Pokémon y has ganado mucha experiencia como Entrenador Pokémon, ¿eh? ¡Bien hecho!	Wow! Du hast jede Menge Pokémon gefangen und viel Erfahrung als Pokémon-Trainer gesammelt! Gut gemacht!	Wow! Hai catturato un bel po' di Pokémon e accumulato un sacco di esperienza come Allenatore. Complimenti!	added "of"
first_time_gym_team_intro|2	It looks like you're about ready to start participating in Pokémon battles!		きみも、いよいよポケモンバトルへ参加する準備が整ったようだね！	On dirait que tu es prêt à participer à des combats Pokémon.	¡Creo que ya es hora de que empieces a participar en combates Pokémon!	Du bist bereit, an Pokémon-Kämpfen teilzunehmen!	Vorrà dire che hai tutte le carte in regola per affrontare delle lotte Pokémon!	
first_time_gym_team_intro|3	I have three excellent assistants.		わたしには3人の、とても優秀な助手がいて……	J’ai trois excellents assistants.	Tengo tres ayudantes excelentes.	Ich habe drei hervorragende Assistenten.	Ho tre magnifici assistenti.	
first_time_gym_team_intro|4	They each direct a team, and each has a slightly different approach to researching Pokémon.		かれらは自分のチームを率いて、それぞれ違うテーマでポケモンを研究しているんだ。	Chacun est le capitaine d’une équipe, mais chacun utilise une méthode différente pour étudier les Pokémon.	Cada uno de ellos dirige un equipo, y cada uno tiene un enfoque particular en la investigación de Pokémon.	Jeder von ihnen leitet ein Team und hat eine andere Vorgehensweise bei der Erforschung von Pokémon.	Gestiscono tre squadre differenti e ciascuno di essi ha un approccio particolare alla ricerca Pokémon.	
first_time_gym_team_intro|5	Part of their research is conducting Pokémon battles at Gyms.		研究の一環としてジムでポケモンバトルを行っている。	Une partie de ces études consiste à effectuer des combats Pokémon dans des Arènes.	Parte de su investigación es llevar a cabo combates Pokémon en los Gimnasios.	Ein Teil ihrer Forschung besteht in der Ausrichtung von Pokémon-Kämpfen in Arenen.	Ho chiesto loro di condurre delle lotte Pokémon presso delle Palestre come parte della mia ricerca.	
first_time_gym_team_intro|6	They're apparently excited to have you joining as a team member.		かれらはぜひきみをチームメンバーに迎え入れたいそうだ。	Ils sont tous enthousiastes à l’idée de t’avoir dans leur équipe.	Están muy contentos de que te unas y seas parte de un equipo.	Sie freuen sich schon, dich als Teammitglied begrüßen zu dürfen.	E non vedono l'ora che tu entri a far parte di una delle loro squadre.	
team_yellow_intro|1	Hey! The name's Spark—the leader of Team Instinct.		ヘイ！オレの名前はスパーク、チーム インスティンクトのリーダーだ。	Salut ! Je m’appelle Spark, je suis capitaine de l’équipe Intuition.	¡Hola! Me llamo Spark, y soy el líder del Equipo Instinto.	Hey! Ich heiße Spark – ich leite Team Intuition.	Ciao, io sono Spark, il capo della Squadra Istinto.	
team_yellow_intro|2	Pokémon are creatures with excellent intuition.		ポケモンは直感がじつに優れた生き物なんだ。	Les Pokémon ont une excellente intuition.	Los Pokémon son criaturas con una intuición excepcional.	Pokémon sind Wesen mit hervorragender Intuition.	I Pokémon sono delle creature dall'intuito eccezionale!	
team_yellow_intro|3	I bet the secret to their intuition is related to how they're hatched.		オレはポケモンの誕生にその秘密が有るんじゃないかとおもう、	Je pense que ceci est lié à leur façon d'éclore.	Yo creo que el secreto de su intuición está relacionado con la forma en que han nacido.	Ich wette, dass das Geheimnis ihrer Intuition damit zusammenhängt, wie sie ausgebrütet werden.	Scommetto che il segreto del loro intuito ha a che fare con il modo in cui nascono.	replaced "born" with "hatched"
team_yellow_intro|4	That's why I'm researching Pokémon I've hatched from Eggs.		だからタマゴから孵ったポケモンを研究しているんだ。	C’est pour cela que j’étudie des Pokémon que j’ai fait éclore de leur œuf.	Por eso estoy investigando los Pokémon que he hecho eclosionar de Huevos.	Deswegen untersuche ich Pokémon, die ich aus Eiern schlüpfen lasse.	Per questo motivo, preferisco studiare i Pokémon che ho fatto io stesso schiudere da un Uovo.	
team_yellow_intro|4	Come on and join my team!		オレのチームにジョインしなよ！	Viens vite rejoindre mon équipe !	¡Ven y únete a mi equipo!	Komm und tritt meinem Team bei!	Che ne dici di far parte della mia squadra?	
team_yellow_intro|5	You never lose when you trust your instincts!		直感を信じれば百戦百勝だ！	Tu ne perdras pas si tu suis ton instinct !	¡Nunca pierdes cuando sigues tus instintos!	Du kannst nicht verlieren, wenn du dich auf deine Intuition verlässt!	Non puoi mai perdere quando segui l'istinto!	
team_blue_intro|1	I am Blanche, leader of Team Mystic.		わたしはブランシェ。チーム ミスティックのリーダー。	Je m’appelle Blanche, je suis capitaine de l’équipe Sagesse.	Yo soy Blanche, líder del Equipo Sabiduría.	Ich bin Blanche – ich leite Team Weisheit.	Io sono Blanche, il capo della squadra Saggezza.	
team_blue_intro|2	The wisdom of Pokémon is immeasurably deep.		ポケモンの知恵は計り知れないほど深い…	La sagesse des Pokémon est incommensurable.	La inteligencia de los Pokémon es verdaderamente grande.	Die Weisheit von Pokémon ist unermesslich.	La saggezza dei Pokémon è incommensurabile.	
team_blue_intro|3	I am researching why it is that they evolve.		そんなかれらが進化する理由、それを研究している。	Je poursuis des recherches sur ce qui les fait évoluer.	Estoy investigando por qué evolucionan.	Ich erforsche, warum sie sich entwickeln.	Io studio il motivo per cui si evolvono.	
team_blue_intro|4	My team?		わたしのチーム？	Mon équipe ?	¿Mi equipo?	Mein Team?	Il punto di forza della mia squadra?	
team_blue_intro|5	With our calm analysis of every situation, we can't lose!		冷静に分析すれば、負けることなどありえない...	Elle est sûre de gagner, grâce à son analyse de toutes les situations !	Con nuestro sereno análisis de todas las situaciones, ¡no podemos perder!	Aufgrund unserer besonnenen Analyse jeder Situation sind wir unschlagbar!	Se analizzi con calma ogni situazione, non potrai mai perdere!	
team_red_intro|1	I'm Candela—Team Valor's leader!		わたしはキャンデラ、チームヴァーラーのリーダーよ！	Je m’appelle Candela, je suis capitaine de l’équipe Bravoure.	Yo soy Candela, líder del Equipo Valor.	Ich bin Candela – ich leite Team Wagemut!	Mi chiamo Candela e sono a capo della Squadra Coraggio!	
team_red_intro|2	Pokémon are stronger than humans, and they're warmhearted, too!		ポケモンは人間よりも強くて、心が熱いの！	Les Pokémon sont plus forts que les humains, et plus chaleureux aussi...	Los Pokémon son más fuertes que los humanos, ¡y más bondadosos también!  	Pokémon sind stärker als Menschen. Außerdem sind sie sehr warmherzig!	I Pokémon sono più forti degli esseri umani. Non solo, sono anche più coraggiosi.	
team_red_intro|3	I'm researching ways to enhance Pokémon's natural power in the pursuit of true strength.		わたしはポケモンの強化を研究して、かれらと一緒に真の強さを探求しているわ。	J’étudie une méthode permettant d’améliorer les pouvoirs naturels des Pokémon.	Estoy investigando las formas de mejorar el poder natural de los Pokémon para conseguir una fortaleza verdadera. 	Ich erforsche, wie die natürliche Kraft der Pokémon vergrößert werden kann, um wahre Stärke zu erreichen.	La mia ricerca ha a che fare con l'innato potere dei Pokémon e la loro vera forza.	
team_red_intro|4	There's no doubt that the Pokémon our team have trained are the strongest in battle!		このチームの鍛え上げられたポケモンがバトルで最強なのは間違いないわ！	C’est sûr, les Pokémon dressés par notre équipe sont les plus costauds au combat.	¡No hay duda de que los Pokémon que nuestro equipo ha entrenado son los más fuertes en combate!	Es besteht kein Zweifel, dass die von unserem Team trainierten Pokémon die stärksten im Kampf sind!	I Pokémon allenati dalla mia squadra sono sicuramente i più forti, non ci sono dubbi!	
team_red_intro|5	Are you ready?		準備はいい？	Tu es prêt ?	¿Todo listo?	Bist du bereit?	Te la senti?	
team_yello_welcom|1	Nice choice! I knew you would join up with us! Get out there and have some fun in Pokémon battles!		グッドチョイス！来てくれると思ってたぜ。ポケモンバトルを楽しもうぜ！	Bravo ! Je savais que tu nous choisirais ! Va te promener et amuse-toi dans des combats Pokémon.	¡Buena elección! Sabía que te unirías a nosotros. ¡Sal a divertirte en combates Pokémon!	Eine gute Wahl! Ich wusste, dass du dich uns anschließen würdest! Mache dich auf den Weg und habe viel Spaß bei Pokémon-Kämpfen!	Ottima scelta! Lo sapevo che avresti scelto noi! Non perdere altro tempo e divertiti con le lotte Pokémon!	
team_blue_welcom|1	The only logical choice. Remember to stay cool and calm in battle.		… 当然の選択だ。バトルでは冷静さを忘れるな。	Le choix qui s’impose. Pense à rester calme et serein pendant le combat.	La única opción lógica. Recuerda mantenerte en calma en combate.	Die logische Wahl. Bleibe im Kampf ruhig und besonnen.	La scelta più logica, chiaramente. Ricorda di mantenere sempre il sangue freddo durante la lotta.	
team_yello_welcom|1	All right! Let's aim for the top and take over as many Gyms as we can!		よかった！たくさんのジムを制覇して、最強を目指しましょう！	Bien ! Passons à l’offensive et investissons autant d’Arènes que possible !	¡Estupendo! ¡Vamos a por todas y a hacernos con el control de tantos Gimnasios como podamos! 	Also gut! Wir streben die Spitze an und übernehmen so viele Arenen wie möglich!	Evviva! Miriamo alla vetta e sconfiggiamo più Palestre possibili, d'accordo?	
quickstart_pokestopfar|1	This is a PokéStop.		これがポケストップだ。	Ceci est un PokéStop.	Esto es una Poképarada.	Dies ist ein PokéStop.	Questo è un Pokéstop.	This is a PokéStop.
quickstart_pokestopfar|2	It's a real-world location where you can find Poké Balls and other items.		モンスターボールや他の道具をみつけられる場所なんだ。	Il s’agit d’un endroit réel où tu peux obtenir des Poké Balls et d’autres objets.	Es un lugar situado en el mundo real en el que puedes encontrar Poké Balls y otros objetos.	Ein Ort in der echten Welt, an dem du Pokébälle und andere Items finden kannst.	È una località del mondo reale dove puoi trovare Poké Ball e altri strumenti.	It's a real-world location where you can find Poké Balls and other items.
quickstart_pokestopnear|1	The PokéStop will change its shape when you walk close enough. Tap it to interact with it.		ポケストップへ近づくと形が変わるんだ。さあタップしてみよう。	Le PokéStop change de forme lorsque tu t’en approches. Touche-le pour l'ouvrir.	La Poképarada cambiará de forma cuando estés lo bastante cerca. Tócala para interactuar con ella.	Der PokéStop ändert seine Form, wenn du nah genug dran bist. Tippe drauf, um ihn zu öffnen.	Il Pokéstop cambierà aspetto quando ti avvicini. Toccalo per interagirci.	The PokéStop will change its shape when you walk close enough. Tap it to interact with it.
quickstart_pokestopspin|1	Spin the Photo Disc to generate items. Tap or swipe the items to collect them.		中心の部分を勢いよくスワイプすると回転して道具が出てくるぞ。	Fais tourner le PhotoDisque pour générer des objets. Touche les objets pour les prendre.	Dale vueltas al fotodisco para que salgan objetos. Toca o pasa el dedo por ellos para conseguirlos.	Drehe die Scheibe, um Items zu erhalten. Zum Einsammeln drauftippen oder drüberstreichen.	Fai girare il centro della struttura per generare strumenti. Tocca gli strumenti per raccoglierli.	Spin the Photo Disc to generate items. Tap or swipe the items to collect them.
quickstart_gymmap|1	This is a Gym.		これがジムだ。	Ceci est une Arène.	Esto es un Gimnasio.	Dies ist eine Arena.	Questa è una Palestra.	This is a Gym.
quickstart_gymmap|2	Teams battle for control of these real-world locations.		この特別な場所をめぐって、３つのチームがバトルの腕を競っているんだ。	Les équipes s’affrontent pour prendre le contrôle de ces lieux réels.	Los equipos combaten por el control de estos lugares situados en el mundo real.	Teams kämpfen um die Kontrolle dieser Standorte.	Ogni Palestra è contesa da tre squadre diverse.	Teams battle for control of these real-world locations.
quickstart_gymbuttons_assign|1	Assign one of your Pokémon to an open Gym to claim it for your team. Strengthen a friendly Gym by assigning one of your Pokémon to help defend it.		無所属のジムにポケモンを１匹選んで配置すると、自分のチームのジムにできる。同じ色の仲間チームのジムには、自分のポケモンを１匹選んで配置できるぞ。	Assigne l’un de tes Pokémon à une Arène vide pour en prendre possession. Renforce une Arène amicale en assignant l’un de tes Pokémon à sa défense.	Asigna a uno de tus Pokémon a un Gimnasio vacío para reclamarlo para tu equipo. Fortalece un Gimnasio amigo asignando a uno de tus Pokémon para que ayude a defenderlo.	Weise eines deiner Pokémon einer leeren Arena zu, um sie für dein Team in Besitz zu nehmen. Stärke eine freundliche Arena, indem du ihr eines deiner Pokémon zuweist, um bei der Verteidigung zu helfen.	Assegna uno dei tuoi Pokémon a una Palestra vuota per rivendicarla per la tua squadra. Rinforza una Palestra amica assegnandogli uno dei tuoi Pokémon per aiutare a difenderla.	Assign one of your Pokémon to an open Gym to claim it for your team. Strengthen a friendly Gym by assigning one of your Pokémon to help defend it.
quickstart_gymbuttons_train|1	Train the Pokémon at a friendly Gym to increase the Gym's Prestige and level.		仲間チームのジムでトレーニングバトルをすると、名声とレベルを上げられる。	Dresse les Pokémon présents dans une Arène amicale pour augmenter son prestige et son niveau.	Entrena a los Pokémon en un Gimnasio amigo para aumentar el prestigio y el nivel del Gimnasio.	Trainiere das Pokémon in einer freundlichen Arena, um das Prestige und den Level der Arena zu erhöhen.	Allena i tuoi Pokémon presso una Palestra amica per aumentarne il grado di prestigio e il livello.	Train the Pokémon at a friendly Gym to increase the Gym's Prestige and level.
quickstart_gymbuttons_battle|1	Challenge a rival Gym to lower its Prestige and level.		別チームのジムにバトルを挑めば、名声とレベルを下げられる。	Défie une Arène rivale pour abaisser son prestige et son niveau.	Desafía a un Gimnasio rival para bajar su prestigio y nivel.	Fordere eine gegnerische Arena heraus, um deren Prestige und Level zu senken.	Sfida una Palestra rivale per diminuirne il grado di prestigio e il livello.	Challenge a rival Gym to lower its Prestige and level.
quickstart_battledodge|1	During battle, swipe left or right to dodge incoming attacks.		バトル中は、左右にスワイプして攻撃をかわすことができる。	Lors d’un combat, fais glisser ton doigt à gauche ou à droite pour éviter les attaques.	Durante un combate, desliza el dedo a izquierda o derecha para esquivar ataques.	Streiche im Kampf nach links oder rechts, um Attacken auszuweichen.	Durante una lotta, fai scivolare il dito a destra o sinistra per schivare gli attacchi in arrivo.	During battle, swipe left or right to dodge incoming attacks.
