"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"
"visit_a_pokestop|4"	"It's time to GO!"	"さぁ、ポケモンを探す旅へ GO！"	"À tes marques, prêt, GO !"	"¡Ya es hora de salir a explorar!"	"Los geht‘s – GO!"	"Pronti... GO!"
"__backup__"	"Great job! Looks like you’ve caught {0}, a {1}-type Pokémon!"	"ナイス！{1}タイプのポケモン、{0}を捕まえたようだね。"	"Excellent ! On dirait que tu as attrapé {0}, un Pokémon de type {1}."	"¡Buen trabajo! ¡Parece que has capturado a {0}, un Pokémon de tipo {1}!"	"Gut gemacht! Du hast {0} gefangen, ein Pokémon vom Typ {1}!"	"Ottimo lavoro! A quanto pare, hai catturato {0}, un Pokémon di tipo {1}!"
"first_time_gym_low_level|1"	"This is a Gym, a place where you'll test your skills at Pokémon battles."	"ここはジム。ポケモンバトルの腕を競う場所だ。"	"Ceci est une Arène, un lieu où tu montreras ta valeur dans des combats de Pokémon."	"Esto es un Gimnasio, un lugar donde pondrás a prueba tus habilidades en combates Pokémon."	"Dies ist eine Arena. Hier testest du dein Können in Pokémon-Kämpfen."	"Questa è una Palestra, un luogo dove metterai alla prova la tua abilità nella lotta."
"first_time_gym_low_level|2"	"It looks like you don't have much experience as a Pokémon Trainer yet."	"きみはまだポケモントレーナーとしての経験が浅いようだね。"	"Tu n’as pas encore beaucoup d’expérience comme Dresseur Pokémon..."	"Parece que todavía no tienes mucha experiencia como Entrenador Pokémon."	"Du scheinst noch nicht sehr viel Erfahrung als Pokémon-Trainer zu haben."	"Non hai molta esperienza come Allenatore, vero?"
"first_time_gym_low_level|3"	"Come back when you've reached level {0}!"	"レベル{0}になってからまた来てくれ。"	"Reviens lorsque tu auras atteint le niveau {0} !"	"¡Vuelve cuando hayas alcanzado el nivel {0}!"	"Komme zurück, wenn du Level {0} erreicht hast!"	"Ritorna quando avrai raggiunto il livello {0}!"
"first_time_gym_team_intro|1"	"Wow! Looks like you've caught a bunch of Pokémon and gained a lot of experience as a Pokémon Trainer, huh? Great work!"	"やぁ！ポケモンをたくさん捕まえて、ポケモントレーナーとしての経験を積んできたようだね。すばらしい！"	"On dirait que tu as attrapé plein de Pokémon et gagné de l'expérience en tant que Dresseur. Excellent travail !"	"¡Guau! Parece que has capturado un montón de Pokémon y has ganado mucha experiencia como Entrenador Pokémon, ¿eh? ¡Bien hecho!"	"Wow! Du hast jede Menge Pokémon gefangen und viel Erfahrung als Pokémon-Trainer gesammelt! Gut gemacht!"	"Wow! Hai catturato un bel po' di Pokémon e accumulato un sacco di esperienza come Allenatore. Complimenti!"
"first_time_gym_team_intro|2"	"It looks like you're about ready to start participating in Pokémon battles!"	"きみも、いよいよポケモンバトルへ参加する準備が整ったようだね！"	"On dirait que tu es prêt à participer à des combats Pokémon."	"¡Creo que ya es hora de que empieces a participar en combates Pokémon!"	"Du bist bereit, an Pokémon-Kämpfen teilzunehmen!"	"Vorrà dire che hai tutte le carte in regola per affrontare delle lotte Pokémon!"
"first_time_gym_team_intro|3"	"I have three excellent assistants."	"わたしには3人の、とても優秀な助手がいて……"	"J’ai trois excellents assistants."	"Tengo tres ayudantes excelentes."	"Ich habe drei hervorragende Assistenten."	"Ho tre magnifici assistenti."
"first_time_gym_team_intro|4"	"They each direct a team, and each has a slightly different approach to researching Pokémon."	"かれらは自分のチームを率いて、それぞれ違うテーマでポケモンを研究しているんだ。"	"Chacun est le capitaine d’une équipe, mais chacun utilise une méthode différente pour étudier les Pokémon."	"Cada uno de ellos dirige un equipo, y cada uno tiene un enfoque particular en la investigación de Pokémon."	"Jeder von ihnen leitet ein Team und hat eine andere Vorgehensweise bei der Erforschung von Pokémon."	"Gestiscono tre squadre differenti e ciascuno di essi ha un approccio particolare alla ricerca Pokémon."
"first_time_gym_team_intro|5"	"Part of their research is conducting Pokémon battles at Gyms."	"研究の一環としてジムでポケモンバトルを行っている。"	"Une partie de ces études consiste à effectuer des combats Pokémon dans des Arènes."	"Parte de su investigación es llevar a cabo combates Pokémon en los Gimnasios."	"Ein Teil ihrer Forschung besteht in der Ausrichtung von Pokémon-Kämpfen in Arenen."	"Ho chiesto loro di condurre delle lotte Pokémon presso delle Palestre come parte della mia ricerca."
"first_time_gym_team_intro|6"	"They're apparently excited to have you joining as a team member."	"かれらはぜひきみをチームメンバーに迎え入れたいそうだ。"	"Ils sont tous enthousiastes à l’idée de t’avoir dans leur équipe."	"Están muy contentos de que te unas y seas parte de un equipo."	"Sie freuen sich schon, dich als Teammitglied begrüßen zu dürfen."	"E non vedono l'ora che tu entri a far parte di una delle loro squadre."
"team_yellow_intro|1"	"Hey! The name's Spark—the leader of Team Instinct."	"ヘイ！オレの名前はスパーク、チーム インスティンクトのリーダーだ。"	"Salut ! Je m’appelle Spark, je suis capitaine de l’équipe Intuition."	"¡Hola! Me llamo Spark, y soy el líder del Equipo Instinto."	"Hey! Ich heiße Spark – ich leite Team Intuition."	"Ciao, io sono Spark, il capo della Squadra Istinto."
"team_yellow_intro|2"	"Pokémon are creatures with excellent intuition."	"ポケモンは直感がじつに優れた生き物なんだ。"	"Les Pokémon ont une excellente intuition."	"Los Pokémon son criaturas con una intuición excepcional."	"Pokémon sind Wesen mit hervorragender Intuition."	"I Pokémon sono delle creature dall'intuito eccezionale!"
"team_yellow_intro|3"	"I bet the secret to their intuition is related to how they're hatched."	"オレはポケモンの誕生にその秘密が有るんじゃないかとおもう、"	"Je pense que ceci est lié à leur façon d'éclore."	"Yo creo que el secreto de su intuición está relacionado con la forma en que han nacido."	"Ich wette, dass das Geheimnis ihrer Intuition damit zusammenhängt, wie sie ausgebrütet werden."	"Scommetto che il segreto del loro intuito ha a che fare con il modo in cui nascono."
"team_yellow_intro|4"	"That's why I'm researching Pokémon I've hatched from Eggs."	"オレのチームにジョインしなよ！"	"C’est pour cela que j’étudie des Pokémon que j’ai fait éclore."	"¡Ven y únete a mi equipo!"	"Komm und tritt meinem Team bei!"	"Che ne dici di far parte della mia squadra?"
"team_yellow_intro|4"	"Come on and join my team!"	"オレのチームにジョインしなよ！"	"C’est pour cela que j’étudie des Pokémon que j’ai fait éclore."	"¡Ven y únete a mi equipo!"	"Komm und tritt meinem Team bei!"	"Che ne dici di far parte della mia squadra?"
"team_yellow_intro|5"	"You never lose when you trust your instincts!"	"直感を信じれば百戦百勝だ！"	"Tu ne perdras pas si tu suis ton instinct !"	"¡Nunca pierdes cuando sigues tus instintos!"	"Du kannst nicht verlieren, wenn du dich auf deine Intuition verlässt!"	"Non puoi mai perdere quando segui l'istinto!"
"team_blue_intro|1"	"I am Blanche, leader of Team Mystic."	"わたしはブランシェ。チーム ミスティックのリーダー。"	"Je m’appelle Blanche, je suis capitaine de l’équipe Sagesse."	"Yo soy Blanche, líder del Equipo Sabiduría."	"Ich bin Blanche – ich leite Team Weisheit."	"Io sono Blanche, il capo della squadra Saggezza."
"team_blue_intro|2"	"The wisdom of Pokémon is immeasurably deep."	"ポケモンの知恵は計り知れないほど深い…"	"La sagesse des Pokémon est incommensurable."	"La inteligencia de los Pokémon es verdaderamente grande."	"Die Weisheit von Pokémon ist unermesslich."	"La saggezza dei Pokémon è incommensurabile."
"team_blue_intro|3"	"I am researching why it is that they evolve."	"そんなかれらが進化する理由、それを研究している。"	"Je poursuis des recherches sur ce qui les fait évoluer."	"Estoy investigando por qué evolucionan."	"Ich erforsche, warum sie sich entwickeln."	"Io studio il motivo per cui si evolvono."
"team_blue_intro|4"	"My team?"	"わたしのチーム？"	"Mon équipe ?"	"¿Mi equipo?"	"Mein Team?"	"Il punto di forza della mia squadra?"
"team_blue_intro|5"	"With our calm analysis of every situation, we can't lose!"	"冷静に分析すれば、負けることなどありえない..."	"Elle est sûre de gagner, grâce à son analyse de toutes les situations !"	"Con nuestro sereno análisis de todas las situaciones, ¡no podemos perder!"	"Aufgrund unserer besonnenen Analyse jeder Situation sind wir unschlagbar!"	"Se analizzi con calma ogni situazione, non potrai mai perdere!"
"team_red_intro|1"	"I'm Candela—Team Valor's leader!"	"わたしはキャンデラ、チームヴァーラーのリーダーよ！"	"Je m’appelle Candela, je suis capitaine de l’équipe Bravoure."	"Yo soy Candela, líder del Equipo Valor."	"Ich bin Candela – ich leite Team Wagemut!"	"Mi chiamo Candela e sono a capo della Squadra Coraggio!"
"team_red_intro|2"	"Pokémon are stronger than humans, and they're warmhearted, too!"	"ポケモンは人間よりも強くて、心が熱いの！"	"Les Pokémon sont plus forts que les humains, et plus chaleureux aussi..."	"Los Pokémon son más fuertes que los humanos, ¡y más bondadosos también!  "	"Pokémon sind stärker als Menschen. Außerdem sind sie sehr warmherzig!"	"I Pokémon sono più forti degli esseri umani. Non solo, sono anche più coraggiosi."
"team_red_intro|3"	"I'm researching ways to enhance Pokémon's natural power in the pursuit of true strength."	"わたしはポケモンの強化を研究して、かれらと一緒に真の強さを探求しているわ。"	"J’étudie une méthode permettant d’améliorer les pouvoirs naturels des Pokémon."	"Estoy investigando las formas de mejorar el poder natural de los Pokémon para conseguir una fortaleza verdadera. "	"Ich erforsche, wie die natürliche Kraft der Pokémon vergrößert werden kann, um wahre Stärke zu erreichen."	"La mia ricerca ha a che fare con l'innato potere dei Pokémon e la loro vera forza."
"team_red_intro|4"	"There's no doubt that the Pokémon our team have trained are the strongest in battle!"	"このチームの鍛え上げられたポケモンがバトルで最強なのは間違いないわ！"	"C’est sûr, les Pokémon dressés par notre équipe sont les plus costauds au combat."	"¡No hay duda de que los Pokémon que nuestro equipo ha entrenado son los más fuertes en combate!"	"Es besteht kein Zweifel, dass die von unserem Team trainierten Pokémon die stärksten im Kampf sind!"	"I Pokémon allenati dalla mia squadra sono sicuramente i più forti, non ci sono dubbi!"
"team_red_intro|5"	"Are you ready?"	"準備はいい？"	"Tu es prêt ?"	"¿Todo listo?"	"Bist du bereit?"	"Te la senti?"
"team_yello_welcom|1"	"Nice choice! I knew you would join up with us! Get out there and have some fun in Pokémon battles!"	"よかった！たくさんのジムを制覇して、最強を目指しましょう！"	"Bien ! Très bon choix ! Passons à l’offensive et amusons-nous dans des combats Pokémon !"	"¡Estupendo! ¡Vamos a por todas y a hacernos con el control de tantos Gimnasios como podamos! "	"Eine gute Wahl! Ich wusste, dass du dich uns anschließen würdest! Mache dich auf den Weg und habe viel Spaß bei Pokémon-Kämpfen!"	"Evviva! Miriamo alla vetta e sconfiggiamo più Palestre possibili, d'accordo?"
"team_blue_welcom|1"	"The only logical choice. Remember to stay cool and calm in battle."	"… 当然の選択だ。バトルでは冷静さを忘れるな。"	"Le choix qui s’impose. Pense à rester calme et serein pendant le combat."	"La única opción lógica. Recuerda mantenerte en calma en combate."	"Die logische Wahl. Bleibe im Kampf ruhig und besonnen."	"La scelta più logica, chiaramente. Ricorda di mantenere sempre il sangue freddo durante la lotta."
"team_yello_welcom|1"	"All right! Let's aim for the top and take over as many Gyms as we can!"	"よかった！たくさんのジムを制覇して、最強を目指しましょう！"	"Bien ! Très bon choix ! Passons à l’offensive et amusons-nous dans des combats Pokémon !"	"¡Estupendo! ¡Vamos a por todas y a hacernos con el control de tantos Gimnasios como podamos! "	"Eine gute Wahl! Ich wusste, dass du dich uns anschließen würdest! Mache dich auf den Weg und habe viel Spaß bei Pokémon-Kämpfen!"	"Evviva! Miriamo alla vetta e sconfiggiamo più Palestre possibili, d'accordo?"
"quickstart_pokestopfar|1"	"This is a PokéStop."	"これがポケストップだ。"	"Ceci est un PokéStop."	"Esto es una Poképarada."	"Dies ist ein PokéStop."	"Questo è un Pokéstop."
"quickstart_pokestopfar|2"	"It's a real-world location where you can find Poké Balls and other items."	"モンスターボールや他の道具をみつけられる場所なんだ。"	"Il s’agit d’un endroit réel où tu peux obtenir des Poké Balls et d’autres objets."	"Es un lugar situado en el mundo real en el que puedes encontrar Poké Balls y otros objetos."	"Ein Ort in der echten Welt, an dem du Pokébälle und andere Items finden kannst."	"È una località del mondo reale dove puoi trovare Poké Ball e altri strumenti."
"quickstart_pokestopnear|1"	"The PokéStop will change its shape when you walk close enough. Tap it to interact with it."	"ポケストップへ近づくと形が変わるんだ。さあタップしてみよう。"	"Le PokéStop change de forme lorsque tu t’en approches. Touche-le pour l'ouvrir."	"La Poképarada cambiará de forma cuando estés lo bastante cerca. Tócala para interactuar con ella."	"Der PokéStop ändert seine Form, wenn du nah genug dran bist. Tippe drauf, um ihn zu öffnen."	"Il Pokéstop cambierà aspetto quando ti avvicini. Toccalo per interagirci."
"quickstart_pokestopspin|1"	"Spin the Photo Disc to generate items. Tap or swipe the items to collect them."	"中心の部分を勢いよくスワイプすると回転して道具が出てくるぞ。"	"Fais tourner le PhotoDisque pour générer des objets. Touche les objets pour les prendre."	"Dale vueltas al fotodisco para que salgan objetos. Toca o pasa el dedo por ellos para conseguirlos."	"Drehe die Scheibe, um Items zu erhalten. Zum Einsammeln drauftippen oder drüberstreichen."	"Fai girare il centro della struttura per generare strumenti. Tocca gli strumenti per raccoglierli."
"quickstart_gymmap|1"	"This is a Gym."	"これがジムだ。"	"Ceci est une Arène."	"Esto es un Gimnasio."	"Dies ist eine Arena."	"Questa è una Palestra."
"quickstart_gymmap|2"	"Teams battle for control of these real-world locations."	"この特別な場所をめぐって、３つのチームがバトルの腕を競っているんだ。"	"Les équipes s’affrontent pour prendre le contrôle de ces lieux réels."	"Los equipos combaten por el control de estos lugares situados en el mundo real."	"Teams kämpfen um die Kontrolle dieser Standorte."	"Ogni Palestra è contesa da tre squadre diverse."
"quickstart_gymbuttons_assign|1"	"Assign one of your Pokémon to an open Gym to claim it for your team. Strengthen a friendly Gym by assigning one of your Pokémon to help defend it."	"無所属のジムにポケモンを１匹選んで配置すると、自分のチームのジムにできる。同じ色の仲間チームのジムには、自分のポケモンを１匹選んで配置できるぞ。"	"Assigne l’un de tes Pokémon à une Arène vide pour en prendre possession. Renforce une Arène amicale en assignant l’un de tes Pokémon à sa défense."	"Asigna a uno de tus Pokémon a un Gimnasio vacío para reclamarlo para tu equipo. Fortalece un Gimnasio amigo asignando a uno de tus Pokémon para que ayude a defenderlo."	"Weise eines deiner Pokémon einer leeren Arena zu, um sie für dein Team in Besitz zu nehmen. Stärke eine freundliche Arena, indem du ihr eines deiner Pokémon zuweist, um bei der Verteidigung zu helfen."	"Assegna uno dei tuoi Pokémon a una Palestra vuota per rivendicarla per la tua squadra. Rinforza una Palestra amica assegnandogli uno dei tuoi Pokémon per aiutare a difenderla."
"quickstart_gymbuttons_train|1"	"Train the Pokémon at a friendly Gym to increase the Gym's Prestige and level."	"仲間チームのジムでトレーニングバトルをすると、名声とレベルを上げられる。"	"Dresse les Pokémon présents dans une Arène amicale pour augmenter son prestige et son niveau."	"Entrena a los Pokémon en un Gimnasio amigo para aumentar el prestigio y el nivel del Gimnasio."	"Trainiere das Pokémon in einer freundlichen Arena, um das Prestige und den Level der Arena zu erhöhen."	"Allena i tuoi Pokémon presso una Palestra amica per aumentarne il grado di prestigio e il livello."
"quickstart_gymbuttons_battle|1"	"Challenge a rival Gym to lower its Prestige and level."	"別チームのジムにバトルを挑めば、名声とレベルを下げられる。"	"Défie une Arène rivale pour abaisser son prestige et son niveau."	"Desafía a un Gimnasio rival para bajar su prestigio y nivel."	"Fordere eine gegnerische Arena heraus, um deren Prestige und Level zu senken."	"Sfida una Palestra rivale per diminuirne il grado di prestigio e il livello."
"quickstart_battledodge|1"	"During battle, swipe left or right to dodge incoming attacks."	"バトル中は、左右にスワイプして攻撃をかわすことができる。"	"Lors d’un combat, fais glisser ton doigt à gauche ou à droite pour éviter les attaques."	"Durante un combate, desliza el dedo a izquierda o derecha para esquivar ataques."	"Streiche im Kampf nach links oder rechts, um Attacken auszuweichen."	"Durante una lotta, fai scivolare il dito a destra o sinistra per schivare gli attacchi in arrivo."
"appraise_intro_1|1"	"Hello, <b>{0}</b>. I am available to analyze your <b>{1}</b>, if you wish."	"ハロー、<b>{0}</b>。<b>{1}</b> を見てあげましょう。"	"Bonjour, {0}. Je peux analyser ton {1}, si tu le souhaites."	"Hola, {0}. Puedo analizar tu {1} si quieres."	"Hallo, {0}! Möchtest du, dass ich dein {1} analysiere?"	"Ciao <b>{0}</b>. Se vuoi posso analizzare il tuo <b>{1}</b>."
"appraise_size_tiny_1|1"	"<b>{0}</b> is tinier than any we have on record. Astounding."	"きみの <b>{0}</b> は記録に残っているかぎり、最小ね。驚異的。"	"<b>{0}</b> est l’un des plus petits Pokémon existants. Étonnant."	"Tu {0} es el más pequeño de entre los que tenemos registrados. Asombroso."	"Dein {0} ist winziger als alle, die wir bisher erfasst haben. Erstaunlich."	"Questo <b>{0}</b> è il più piccolo mai visto prima. Incredibile."
"appraise_size_small_1|1"	"<b>{0}</b> is below average in size."	"きみの <b>{0}</b> は平均より小さいわ。"	"<b>{0}</b> est de taille inférieure à la moyenne."	"Tu {0} está por debajo de la media en tamaño."	"Dein {0} ist kleiner als normal."	"Le dimensioni di questo <b>{0}</b> sono sotto la media."
"appraise_size_large_1|1"	"<b>{0}</b> is above average in size."	"きみの <b>{0}</b> は平均より大きいわ。"	"<b>{0}</b> est de taille supérieure à la moyenne."	"Tu {0} está por encima de la media en tamaño."	"Dein {0} ist größer als normal."	"Le dimensioni di questo <b>{0}</b> sono sopra la media."
"appraise_size_huge_1|1"	"The size of <b>{0}</b> is...colossal. A statistical anomaly. Fascinating!"	"<b>{0}</b> の大きさは... 分類できないほどよ！興味深いわ。"	"Ton <b>{0}</b> est... colossal. Une vraie anomalie statistique. C’est fascinant !"	"El tamaño de tu {0} es... colosal. Una anomalía estadística. ¡Fascinante!"	"Dein {0} ist ... kolossal. Eine statistische Anomalie. Faszinierend!"	"Le dimensioni di questo <b>{0}</b> sono... colossali. Un'anomalia statistica, non c'è dubbio!"
"appraise_stat_low_1|1"	"Its <b>{0}</b> leaves a bit to be desired, unfortunately."	"<b>{0}</b> がもう少しあるといいと思うわ。"	"Ses statistiques <b>{0}</b> laissent à désirer, malheureusement."	"Su {0} deja un poco que desear, desgraciadamente."	"Sein {0} lässt leider ein bisschen zu wünschen übrig."	"La sua statistica <b>{0}</b> lascia un po' a desiderare purtroppo."
"appraise_stat_mid_1|1"	"Its <b>{0}</b> is fairly impressive."	"<b>{0}</b> は、ある程度伸びているようね。"	"Ses statistiques <b>{0}</b> sont assez impressionnantes."	"Su {0} es bastante impresionante."	"Sein {0} ist recht beeindruckend."	"La sua statistica <b>{0}</b> non è male."
"appraise_stat_high_1|1"	"I must say, I am impressed by its <b>{0}</b>."	"これはすごい、驚きの <b>{0}</b> ね。"	"Je suis impressionné par ses statistiques <b>{0}</b>."	"Debo decir que su {0} me impresiona."	"Ich muss sagen, dass ich von seinem {0} beeindruckt bin."	"Devo dire che la statistica <b>{0}</b> è piuttosto alta."
"appraise_stat_best_1|1"	"Its <b>{0}</b> is beyond my calculations. Incredible."	"<b>{0}</b> が測定できないほど高いわ。すばらしい。"	"Ses statistiques <b>{0}</b> sont incalculables. C’est incroyable."	"Su {0} está fuera de mis cálculos. Increíble."	"Sein {0} ist so hoch, dass ich ihn gar nicht berechnen kann! Unglaublich!"	"Una statistica <b>{0}</b> così non si è mai vista. Incredibile."
"appraise_overall_low_1|1"	"Overall, <b>{0}</b> is not very impressive."	"全体的に、きみの <b>{0}</b> は普通ね。"	"<b>{0}</b> n’est pas très impressionnant."	"En su conjunto, tu {0} no es muy impresionante."	"Dein {0} ist insgesamt nicht sehr beeindruckend."	"Nel complesso, il tuo <b>{0}</b> non è nulla di speciale."
"appraise_overall_mid_1|1"	"Overall, <b>{0}</b> is above average."	"全体的に、きみの <b>{0}</b> は平均以上。"	"<b>{0}</b> est supérieur à la moyenne."	"En su conjunto, tu {0} está por encima de la media."	"Dein {0} ist insgesamt überdurchschnittlich."	"Nel complesso, il tuo <b>{0}</b> è sopra la media."
"appraise_overall_high_1|1"	"Overall, <b>{0}</b> has certainly caught my attention."	"全体的に、きみの <b>{0}</b> は、すばらしいわ。"	"<b>{0}</b> a retenu toute mon attention."	"En su conjunto, tu {0} me ha llamado ciertamente la atención."	"Dein {0} ist mir insgesamt wirklich aufgefallen."	"Nel complesso, il tuo <b>{0}</b> ha attirato la mia attenzione."
